"id","activity","HU","MHC","HC50","LD50","EC50","LC50","IC50","NH"
"1291","0% hemolysis at 1-100μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 1-100μM  (non-hemolytic)"
"1292","2% hemolysis at 15 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1293","2% hemolysis at 15 μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1294","0% hemolysis at 15 μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 15 μM (non-hemolytic)"
"1295","0% hemolysis at 15 μM (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 15 μM (non-hemolytic)"
"1296","0.02 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1297","0.05 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1298","0.07 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1299","0.02 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1300","0.09 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1301","0.27 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1302","0.01 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1303","0.0 fractions hemolysis at 5.0 μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1304","0.05 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1305","0.01 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1306","0.19 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1307","0.4 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1308","0.01 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1309","0.02 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1310","0.19 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1311","0.01 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1312","0.15 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1313","0.28 fractions hemolysis in 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1314","0.01 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1315","0.02 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1316","0.08 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1317","0.01 fracions Hemoysis at 0.5μM  ","NA","NA","NA","NA","NA","NA","NA","NA"
"1318","0.2 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1319","0.25 fractions hemolyis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1320","0.0 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1321","0.03 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1322","0.08 fractions hemolysis at 15μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1323","0.01 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1324","0.1 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1325","0.14 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1326","0.02 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1327","0.05 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1328","0.06 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1329","0.05 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1330","0.12 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1331","0.18 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1332","0.0 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1333","0.0 fractions hemolysis 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1334","0.05 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1335","0.01 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1336","0.18 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1337","0.3 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1338","0.02 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1339","0.02 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1340","0.07 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1341","0.02 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1342","0.15 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1343","0.45 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1344","0.0 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1345","0.0 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1346","0.05 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1347","0.01 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1348","0.07 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1349","0.14 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1350","0.02 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1351","0.03 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1352","0.1 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1353","0.02 fractions hemolysis at 0.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1354","0.1 fractions hemolysis at 5.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1355","0.26 fractions hemolysis at 15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1356","5±6 % hemolysis at 15μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1357","0 % hemolysis at 15μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1358","5±3% hemolysis at 15μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1359","15±20% hemolysis at 15μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1360","4% hemolysis at 15μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1361","10±12 % hemolysis at 15μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1362","12±13 % hemolysis at 15μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1363","11±9% hemolysis at 15μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1364","0% hemolysis at 1-50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 1-50μM  (non-hemolytic)"
"1365","50% hemolysis at 40μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1366","62.5% hemolysis at 40μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1367","42.5% hemolysis at 40μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1368","0% hemolysis at 40μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 40μM  (non-hemolytic)"
"1369","5% hemolysis at 40μM  ","NA","NA","NA","NA","NA","NA","NA","NA"
"1370","4.84% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1371","4.90% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1372","4.73% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1373","5.07% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1374","5.13%hemolysis at 12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1375","5.07% hemolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1376","4.90% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1377","5.13% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1378","4.90% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1379","5.19% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1380","5.01% hemolysis at 12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1381","4.90% hemolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1382","5.19% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1383","4.96% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1384","4.73% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1385","4.84% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1386","4.96% hemolysis at 12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1387","4.78% Hmolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1388","4.61% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1389","6.05% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1390","4.73% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1391","4.44% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1392","4.78% hemolysis at12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1393","4.61% hemolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1394","5.01% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1395","4.84% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1396","4.84% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1397","5.01% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1398","4.44% hemolysis at 12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1399","4.78% Hmolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1400","5.42% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1401","5.99% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1402","5.13% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1403","5.13% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1404","4.73% hemolysis at 12.5μg/ml  ","NA","NA","NA","NA","NA","NA","NA","NA"
"1405","5.47% hemolysis at 63μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1406","7.09% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1407","5.36% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1408","4.73% hemolysis at 50μg/ml  ","NA","NA","NA","NA","NA","NA","NA","NA"
"1409","4.84% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1410","5.19% hemolysis at 12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1411","4.84% hemolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1412","7.26% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1413","5.76% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1414","4.72% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1415","5.07% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1416","4.78% hemolysis at12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1417","5.30% hemolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1418","57.58% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1419","14.92% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1420","7.38% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1421","5.01% hemolysis at25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1422","4.96% hemolysis at 12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1423","4.73% hemolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1424","64.43% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1425","34.29% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1426","17.58% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1427","14.99% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1428","6.51% hemolysis at 12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1429","5.13% hemolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1430","47.72% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1431","20.86% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1432","12.80% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1433","10.78% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1434","5.31% hemolysis at 12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1435","5.07% hemolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1436","36.37% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1437","10.90% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1438","7.61% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1439","5.24% hemolysis at 25μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1440","5.24% hemolysis at 12.5μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1441","4.44% hemolysis at 6.3μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1442","EC50 = 6μM ","NA","NA","NA","NA","EC50 = 6μM ","NA","NA","NA"
"1443","EC50 = >36μM ","NA","NA","NA","NA","EC50 = >36μM ","NA","NA","NA"
"1444","EC50 = >36μM ","NA","NA","NA","NA","EC50 = >36μM ","NA","NA","NA"
"1445","EC50 = 3μM ","NA","NA","NA","NA","EC50 = 3μM ","NA","NA","NA"
"1446","EC50 = >36μM ","NA","NA","NA","NA","EC50 = >36μM ","NA","NA","NA"
"1447","EC50 = 12μM ","NA","NA","NA","NA","EC50 = 12μM ","NA","NA","NA"
"1448","EC50 = >36μM ","NA","NA","NA","NA","EC50 = >36μM ","NA","NA","NA"
"1449","EC50 = >36μM ","NA","NA","NA","NA","EC50 = >36μM ","NA","NA","NA"
"1450","100% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1451","41.8% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1452","21.4% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1453","10% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1454","3.3% hemolysis at 64μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1455","100% hemolysis at 50μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1456","100% hemolysis at 150μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1457","<60% hemolysis at 200μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1458","100% hemolysis at 200μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1459","0% hemolysis at 1-100μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1460","28% hemolysis at 0.4μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1461","42% hemolysis at 23μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1462","5% hemolysis at 0.4μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1463","12 % hemolysis at 23μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1464","0% hemolysis upto 1358μg/ml  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis upto 1358μg/ml  (non-hemolytic)"
"1465","0% hemolysis upto 679μg/ml  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis upto 679μg/ml  (non-hemolytic)"
"1466","EC50 = 50 μM","NA","NA","NA","NA","EC50 = 50 μM","NA","NA","NA"
"1467","EC50 = 50 μM","NA","NA","NA","NA","EC50 = 50 μM","NA","NA","NA"
"1468","non-hemolytic","NA","NA","NA","NA","NA","NA","NA","non-hemolytic"
"1469","EC50 = 26 μM","NA","NA","NA","NA","EC50 = 26 μM","NA","NA","NA"
"1470","100% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1471","73% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1472","88% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1473","63% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1474","6% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1475","13% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1476","100% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1477","6% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1478","4% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1479","8% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1480","8% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1481","18% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1482","60% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1483","0% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1484","3% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1485","12% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1486","3% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1487","7% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1488","11% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1489","8% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1490","36% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1491","11% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1492","9% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1493","7% hemolysis at 50μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1494","0% hemolysis at 3 - 50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 3 - 50μM  (non-hemolytic)"
"1495","MHC = 3.0x10-5 g/ml","NA","MHC = 3.0x10-5 g/ml","NA","NA","NA","NA","NA","NA"
"1496","MHC = 2.8x10-3 g/ml","NA","MHC = 2.8x10-3 g/ml","NA","NA","NA","NA","NA","NA"
"1497","51% hemolysis at >2.6 x 10-3 g/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1498","17% hemolysis at >6.7x10-3 g/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1499","0% hemolysis at >6.4x10-3 g/ml (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at >6.4x10-3 g/ml (non-hemolytic)"
"1500","1% hemolysis at >6.8x10-3 g/ml","NA","NA","NA","NA","NA","NA","NA","NA"
"1501","LC50 = 200μM","NA","NA","NA","NA","NA","LC50 = 200μM","NA","NA"
"1502","100% hemolysis at 100μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1503","50% hemolysis at 100μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1504","10% hemolysis at 100μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1505","10% hemolysis at 100μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1506","15% hemolysis at 100μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1507","LC50 = >100μM ","NA","NA","NA","NA","NA","LC50 = >100μM ","NA","NA"
"1508","LC50 = >200μM ","NA","NA","NA","NA","NA","LC50 = >200μM ","NA","NA"
"1509","LC50 = >200μM ","NA","NA","NA","NA","NA","LC50 = >200μM ","NA","NA"
"1510","LC50 = 50μM ","NA","NA","NA","NA","NA","LC50 = 50μM ","NA","NA"
"1511","LC50 = 80μM ","NA","NA","NA","NA","NA","LC50 = 80μM ","NA","NA"
"1512","LC50 = >200μM ","NA","NA","NA","NA","NA","LC50 = >200μM ","NA","NA"
"1513","LC50 = 56.3μM ","NA","NA","NA","NA","NA","LC50 = 56.3μM ","NA","NA"
"1514","LC50 = >200μM ","NA","NA","NA","NA","NA","LC50 = >200μM ","NA","NA"
"1515","LC50 = >200μM ","NA","NA","NA","NA","NA","LC50 = >200μM ","NA","NA"
"1516","HD50 = 27.4±1.2μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1517","HD50 = 40.2μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1518","HD50 = 77.2μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1519","HD50 = 85.6μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1520","HD50 = 157.6μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1521","HD50 = 164.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1522","HD50 = 157.4μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1523","HD50 = 105.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1524","HD50 = 117.3μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1525","HD50 = 134.0μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1526","HD50 = 82.6μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1527","HD50 = >200μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1528","HD50 = 14μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1529","HD50 = <800μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1530","IC50 = >50μM ","NA","NA","NA","NA","NA","NA","IC50 = >50μM ","NA"
"1531","100% hemolysis at 0.77mM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1532","100% hemolysis at 0.77mM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1533","100% hemolysis at 0.77mM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1534","90% hemolysis at 0.77mM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1535","80% hemolysis at 0.77mM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1536","95% hemolysis at 0.77mM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1537","100% hemolysis at 0.77mM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1538","13% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1539","25% hemolysis at 100μg/ml ","NA","NA","NA","NA","NA","NA","NA","NA"
"1540","0% hemolysis at 50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 50μM  (non-hemolytic)"
"1541","Mild hemolytic activity at 50μM","NA","NA","NA","NA","NA","NA","NA","NA"
"1542","0% hemolysis at 50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 50μM  (non-hemolytic)"
"1543","0% hemolysis at 50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 50μM  (non-hemolytic)"
"1544","0% hemolysis at 50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 50μM  (non-hemolytic)"
"1545","0% hemolysis at 50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 50μM  (non-hemolytic)"
"1546","0% hemolysis at 50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 50μM  (non-hemolytic)"
"1547","0% hemolysis at 50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 50μM  (non-hemolytic)"
"1548","0% hemolysis at 50μM  (non-hemolytic)","NA","NA","NA","NA","NA","NA","NA","0% hemolysis at 50μM  (non-hemolytic)"
"1549","3.6% hemolysis at 3.15μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1550","6.3% hemolysis at 6.30μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1551","9.1% hemolysis at 15.7μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1552","13.2% hemolysis at 31.5μM ","NA","NA","NA","NA","NA","NA","NA","NA"
"1553","MHC = 25μg/ml","NA","MHC = 25μg/ml","NA","NA","NA","NA","NA","NA"
"1554","MHC = 50μg/ml","NA","MHC = 50μg/ml","NA","NA","NA","NA","NA","NA"
"1555","MHC = 25μg/ml","NA","MHC = 25μg/ml","NA","NA","NA","NA","NA","NA"
"1556","MHC = 50μg/ml","NA","MHC = 50μg/ml","NA","NA","NA","NA","NA","NA"
"1557","MHC = 6.3μg/ml","NA","MHC = 6.3μg/ml","NA","NA","NA","NA","NA","NA"
"1558","MHC = 12.5μg/ml","NA","MHC = 12.5μg/ml","NA","NA","NA","NA","NA","NA"
"1559","MHC ≥200μg/ml","NA","MHC ≥200μg/ml","NA","NA","NA","NA","NA","NA"
"1560","MHC ≥200μg/ml","NA","MHC ≥200μg/ml","NA","NA","NA","NA","NA","NA"
"1561","15.88% hemolysis at 48.0μg ","NA","NA","NA","NA","NA","NA","NA","NA"
"1562","91.73% hemolysis at 10μg","NA","NA","NA","NA","NA","NA","NA","NA"
"1563","11.63% hemolysis at 6.0μg","NA","NA","NA","NA","NA","NA","NA","NA"
"1564","75% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1565","20% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1566","100% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1567","80% hemolysis at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1568","50% hemolysis  at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1569","55% hemolysis  at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1570","6-8% hemolysis  at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1571","10% hemolysis  at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1572","5-8 % hemolysis  at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1573","5-8% hemolysis  at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1574","50% hemolysis  at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1575","50% hemolysis  at 100µM","NA","NA","NA","NA","NA","NA","NA","NA"
"1576","15-18% hemolysis  at 50µM","NA","NA","NA","NA","NA","NA","NA","NA"
